Assembly	Collection	Best_match_locus	Capsule_group	Confidence	Norm_AS	Genes_found	Genes_expected	Gene_coverage	Raw_AS	Typeable
ERR4920074	Barnards	KL302	G1/G4	Moderate	1.7854	31	34	91.2%	54552	True
ERR4920075	Barnards	KL301	G1/G4	Moderate	1.5127	25	33	75.8%	45840	True
ERR4920076	Barnards	KL302	G1/G4	Moderate	1.8401	33	34	97.1%	56224	True
ERR4920077	Barnards	KL391	G1/G4	High	2.0	30	30	100.0%	64284	True
ERR4920078	Barnards	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR4920079	Barnards	KL3	G2/G3	High	1.9875	21	21	100.0%	50376	True
ERR4920080	Barnards	KL337	G1/G4	Moderate	1.69	34	38	89.5%	48250	True
ERR4920081	Barnards	KL302	G1/G4	Moderate	1.8462	33	34	97.1%	56410	True
ERR4920082	Barnards	KL302	G1/G4	Moderate	1.8355	33	34	97.1%	56084	True
ERR4920083	Barnards	KL302	G1/G4	Moderate	1.8355	33	34	97.1%	56084	True
ERR4920084	Barnards	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ERR4920085	Barnards	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ERR4920086	Barnards	KL391	G1/G4	Moderate	1.8609	30	30	100.0%	59814	True
ERR4920087	Barnards	KL301	G1/G4	Moderate	1.8378	30	33	90.9%	55690	True
ERR4920088	Barnards	KL337	G1/G4	Moderate	1.6282	34	38	89.5%	46486	True
ERR4920089	Barnards	KL352	G1/G4	Moderate	1.8819	27	27	100.0%	56614	True
ERR4920090	Barnards	KL1	G2/G3	High	1.9229	14	14	100.0%	30188	True
ERR4920091	Barnards	KL302	G1/G4	Moderate	1.8083	33	34	97.1%	55254	True
ERR4920092	Barnards	KL337	G1/G4	Moderate	1.5727	32	38	84.2%	44902	True
ERR4920093	Barnards	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ERR4920094	Barnards	KL130	G2/G3	High	1.9839	13	13	100.0%	27538	True
ERR4920095	Barnards	KL303	G1/G4	Moderate	1.5357	36	40	90.0%	45610	True
ERR4920096	Barnards	KL302	G1/G4	Moderate	1.8256	33	34	97.1%	55782	True
ERR4920097	Barnards	KL130	G2/G3	High	1.9614	13	13	100.0%	27226	True
ERR4920098	Barnards	KL302	G1/G4	Moderate	1.8238	33	34	97.1%	55726	True
ERR4920099	Barnards	KL10	G2/G3	High	1.9948	17	17	100.0%	40304	True
ERR4920100	Barnards	KL302	G1/G4	Moderate	1.7533	31	34	91.2%	53572	True
ERR4920101	Barnards	KL2	G2/G3	High	1.9883	13	13	100.0%	33254	True
ERR4920102	Barnards	KL3	G2/G3	High	1.9875	21	21	100.0%	50376	True
ERR4920103	Barnards	KL303	G1/G4	Moderate	1.5281	35	40	87.5%	45385	True
ERR4920104	Barnards	KL138	G2/G3	Moderate	1.8139	11	12	91.7%	27268	True
ERR4920105	Barnards	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR4920106	Barnards	KL174	G2/G3	Moderate	1.8406	15	15	100.0%	28012	True
ERR4920107	Barnards	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR4920108	Barnards	KL12	G2/G3	High	1.9689	12	12	100.0%	31566	True
ERR4920109	Barnards	KL302	G1/G4	Moderate	1.8007	33	34	97.1%	55020	True
ERR4920110	Barnards	KL138	G2/G3	High	1.9721	12	12	100.0%	29646	True
ERR4920111	Barnards	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
ERR4920112	Barnards	KL2	G2/G3	Moderate	1.8481	13	13	100.0%	30910	True
ERR4920113	Barnards	KL302	G1/G4	Moderate	1.821	33	34	97.1%	55642	True
ERR4920114	Barnards	KL302	G1/G4	Moderate	1.821	33	34	97.1%	55642	True
ERR4920115	Barnards	KL351	G1/G4	Moderate	1.8841	27	27	100.0%	53956	True
ERR4920116	Barnards	KL302	G1/G4	Moderate	1.8055	33	34	97.1%	55168	True
ERR4920117	Barnards	KL308	G1/G4	Moderate	1.5208	36	50	72.0%	55156	True
ERR4920118	Barnards	KL302	G1/G4	Moderate	1.8272	33	34	97.1%	55830	True
ERR4920119	Barnards	KL158	G2/G3	Moderate	1.8932	10	10	100.0%	20146	True
ERR4920120	Barnards	KL301	G1/G4	Moderate	1.8492	31	33	93.9%	56036	True
ERR4920121	Barnards	KL382	G1/G4	Moderate	1.8919	25	25	100.0%	49992	True
ERR4920122	Barnards	KL302	G1/G4	Moderate	1.7788	31	34	91.2%	54350	True
ERR4920123	Barnards	KL386	G1/G4	Moderate	1.8476	25	25	100.0%	47374	True
ERR4920124	Barnards	KL174	G2/G3	Moderate	1.8409	14	15	93.3%	28016	True
ERR4920125	Barnards	KL302	G1/G4	Moderate	1.8465	33	34	97.1%	56420	True
ERR4920126	Barnards	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
ERR4920127	Barnards	KL301	G1/G4	Moderate	1.7289	29	33	87.9%	52392	True
ERR4920128	Barnards	KL303	G1/G4	Moderate	1.5587	36	40	90.0%	46294	True
ERR4920129	Barnards	KL302	G1/G4	Moderate	1.8081	33	34	97.1%	55248	True
ERR4920130	Barnards	KL303	G1/G4	Moderate	1.552	35	40	87.5%	46094	True
ERR4920131	Barnards	KL303	G1/G4	Low	1.4941	35	40	87.5%	44374	True
ERR4920132	Barnards	KL302	G1/G4	Moderate	1.7545	31	34	91.2%	53610	True
ERR4920133	Barnards	KL127	G2/G3	High	1.976	14	14	100.0%	28034	True
ERR4920134	Barnards	KL302	G1/G4	Moderate	1.8247	33	34	97.1%	55754	True
ERR4920135	Barnards	KL386	G1/G4	Moderate	1.8671	25	25	100.0%	47874	True
ERR4920136	Barnards	KL302	G1/G4	Moderate	1.7927	33	34	97.1%	54776	True
ERR4920137	Barnards	KL302	G1/G4	Moderate	1.8247	33	34	97.1%	55754	True
ERR4920138	Barnards	KL301	G1/G4	Moderate	1.6816	29	33	87.9%	50958	True
ERR4920139	Barnards	KL302	G1/G4	Moderate	1.7522	31	34	91.2%	53538	True
ERR4920140	Barnards	KL302	G1/G4	Moderate	1.8296	33	34	97.1%	55902	True
ERR4920141	Barnards	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
ERR4920142	Barnards	KL337	G1/G4	Moderate	1.7041	34	38	89.5%	48654	True
ERR4920143	Barnards	KL302	G1/G4	Moderate	1.7521	31	34	91.2%	53536	True
ERR4920144	Barnards	KL120	G2/G3	High	1.9272	10	10	100.0%	26544	True
ERR4920145	Barnards	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ERR4920146	Barnards	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ERR4920147	Barnards	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
