locus	cds_index	gene	product	length_aa
KL337_ESC_DC5648AA_AS	0	wza	putative capsule polysaccharide export protein	379
KL337_ESC_DC5648AA_AS	1	wzb	protein tyrosine phosphatase	147
KL337_ESC_DC5648AA_AS	2	wzc	tyrosine-protein kinase	720
KL337_ESC_DC5648AA_AS	3	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL337_ESC_DC5648AA_AS	4	cysE	Serine acetyltransferase	162
KL337_ESC_DC5648AA_AS	5	?	hypothetical protein	405
KL337_ESC_DC5648AA_AS	6	?	hypothetical protein	405
KL337_ESC_DC5648AA_AS	7	?	hypothetical protein	248
KL337_ESC_DC5648AA_AS	8	wcqU	Putative acetyltransferase	182
KL337_ESC_DC5648AA_AS	9	gmd	GDP-D-mannose dehydratase	373
KL337_ESC_DC5648AA_AS	10	wcaG	GDP-fucose synthetase	321
KL337_ESC_DC5648AA_AS	11	gmm	GDP-mannose mannosyl hydrolase	160
KL337_ESC_DC5648AA_AS	12	wcaI	glycosyl transferase	407
KL337_ESC_DC5648AA_AS	13	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL337_ESC_DC5648AA_AS	14	manB	phosphomannomutase	456
KL337_ESC_DC5648AA_AS	15	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL337_ESC_DC5648AA_AS	16	wzx	flippase	492
KL337_ESC_DC5648AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL337_ESC_DC5648AA_AS	18	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL337_ESC_DC5648AA_AS	19	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL337_ESC_DC5648AA_AS	20	galF	UDP-glucose pyrophosphorylase	297
KL337_ESC_DC5648AA_AS	21	?	hypothetical protein	288
KL337_ESC_DC5648AA_AS	22	?	hypothetical protein	100
KL337_ESC_DC5648AA_AS	23	?	hypothetical protein	71
KL337_ESC_DC5648AA_AS	24	?	hypothetical protein	387
KL337_ESC_DC5648AA_AS	25	?	hypothetical protein	443
KL337_ESC_DC5648AA_AS	26	?	hypothetical protein	389
KL337_ESC_DC5648AA_AS	27	?	hypothetical protein	361
KL337_ESC_DC5648AA_AS	28	?	hypothetical protein	337
KL337_ESC_DC5648AA_AS	29	?	hypothetical protein	289
KL337_ESC_DC5648AA_AS	30	?	hypothetical protein	155
KL337_ESC_DC5648AA_AS	31	wcuU	glycosyl transferase family 2 protein	265
KL337_ESC_DC5648AA_AS	32	?	hypothetical protein	372
KL337_ESC_DC5648AA_AS	33	gnd	gluconate-6-phosphate dehydrogenase	468
KL337_ESC_DC5648AA_AS	34	ugd	UDP-glucose 6-dehydrogenase	84
KL300_ESC_GC2276AA_AS	0	galF	UDP-glucose pyrophosphorylase	297
KL300_ESC_GC2276AA_AS	1	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL300_ESC_GC2276AA_AS	2	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL300_ESC_GC2276AA_AS	3	wcuA	colanic acid biosynthesis protein	426
KL300_ESC_GC2276AA_AS	4	wzx	flippase	492
KL300_ESC_GC2276AA_AS	5	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL300_ESC_GC2276AA_AS	6	manB	phosphomannomutase	456
KL300_ESC_GC2276AA_AS	7	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL300_ESC_GC2276AA_AS	8	wcaI	glycosyl transferase	404
KL300_ESC_GC2276AA_AS	9	gmm	GDP-mannose mannosyl hydrolase	160
KL300_ESC_GC2276AA_AS	10	wcaG	GDP-fucose synthetase	321
KL300_ESC_GC2276AA_AS	11	gmd	GDP-D-mannose dehydratase	373
KL300_ESC_GC2276AA_AS	12	wcqU	Putative acetyltransferase	182
KL300_ESC_GC2276AA_AS	13	?	hypothetical protein	248
KL300_ESC_GC2276AA_AS	14	?	hypothetical protein	405
KL300_ESC_GC2276AA_AS	15	?	hypothetical protein	405
KL300_ESC_GC2276AA_AS	16	cysE	Serine acetyltransferase	162
KL300_ESC_GC2276AA_AS	17	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL300_ESC_GC2276AA_AS	18	wzc	tyrosine-protein kinase	720
KL300_ESC_GC2276AA_AS	19	wzb	protein tyrosine phosphatase	147
KL300_ESC_GC2276AA_AS	20	wza	putative capsule polysaccharide export protein	379
KL300_ESC_GC2276AA_AS	21	?	hypothetical protein	527
KL300_ESC_GC2276AA_AS	22	?	hypothetical protein	617
KL300_ESC_GC2276AA_AS	23	?	hypothetical protein	193
KL300_ESC_GC2276AA_AS	24	?	hypothetical protein	213
KL300_ESC_GC2276AA_AS	25	?	hypothetical protein	1105
KL300_ESC_GC2276AA_AS	26	?	hypothetical protein	282
KL300_ESC_GC2276AA_AS	27	?	hypothetical protein	450
KL300_ESC_GC2276AA_AS	28	?	hypothetical protein	646
KL300_ESC_GC2276AA_AS	29	?	hypothetical protein	226
KL300_ESC_GC2276AA_AS	30	?	hypothetical protein	219
KL300_ESC_GC2276AA_AS	31	?	hypothetical protein	415
KL300_ESC_GC2276AA_AS	32	?	hypothetical protein	1040
KL300_ESC_GC2276AA_AS	33	?	hypothetical protein	1025
KL300_ESC_GC2276AA_AS	34	?	hypothetical protein	471
KL300_ESC_GC2276AA_AS	35	?	hypothetical protein	467
KL300_ESC_GC2276AA_AS	36	?	hypothetical protein	240
KL300_ESC_GC2276AA_AS	37	?	hypothetical protein	110
KL300_ESC_GC2276AA_AS	38	?	hypothetical protein	453
KL300_ESC_GC2276AA_AS	39	?	hypothetical protein	105
KL300_ESC_GC2276AA_AS	40	?	hypothetical protein	71
KL300_ESC_GC2276AA_AS	41	?	hypothetical protein	325
KL300_ESC_GC2276AA_AS	42	ugd	UDP-glucose 6-dehydrogenase	388
KL300_ESC_GC2276AA_AS	43	gnd	gluconate-6-phosphate dehydrogenase	468
KL300_ESC_GC2276AA_AS	44	wcaN_2	D-inositol 3-phosphate glycosyltransferase	118
KL301_ESC_XA1396AA_AS	0	?	hypothetical protein	107
KL301_ESC_XA1396AA_AS	1	galF	UDP-glucose pyrophosphorylase	297
KL301_ESC_XA1396AA_AS	2	gtfA_2	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit	362
KL301_ESC_XA1396AA_AS	3	wckS	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD	251
KL301_ESC_XA1396AA_AS	4	?	hypothetical protein	375
KL301_ESC_XA1396AA_AS	5	?	hypothetical protein	184
KL301_ESC_XA1396AA_AS	6	?	hypothetical protein	350
KL301_ESC_XA1396AA_AS	7	?	hypothetical protein	438
KL301_ESC_XA1396AA_AS	8	?	hypothetical protein	484
KL301_ESC_XA1396AA_AS	9	?	hypothetical protein	238
KL301_ESC_XA1396AA_AS	10	?	hypothetical protein	484
KL301_ESC_XA1396AA_AS	11	?	hypothetical protein	316
KL301_ESC_XA1396AA_AS	12	?	hypothetical protein	305
KL301_ESC_XA1396AA_AS	13	?	hypothetical protein	311
KL301_ESC_XA1396AA_AS	14	?	hypothetical protein	359
KL301_ESC_XA1396AA_AS	15	?	hypothetical protein	247
KL301_ESC_XA1396AA_AS	16	?	hypothetical protein	180
KL301_ESC_XA1396AA_AS	17	?	hypothetical protein	119
KL301_ESC_XA1396AA_AS	18	?	hypothetical protein	109
KL301_ESC_XA1396AA_AS	19	?	hypothetical protein	352
KL301_ESC_XA1396AA_AS	20	?	hypothetical protein	157
KL301_ESC_XA1396AA_AS	21	?	hypothetical protein	388
KL301_ESC_XA1396AA_AS	22	?	hypothetical protein	475
KL301_ESC_XA1396AA_AS	23	?	hypothetical protein	75
KL301_ESC_XA1396AA_AS	24	?	hypothetical protein	334
KL301_ESC_XA1396AA_AS	25	?	hypothetical protein	452
KL301_ESC_XA1396AA_AS	26	?	hypothetical protein	316
KL301_ESC_XA1396AA_AS	27	?	hypothetical protein	274
KL301_ESC_XA1396AA_AS	28	?	hypothetical protein	84
KL301_ESC_XA1396AA_AS	29	?	hypothetical protein	83
KL301_ESC_XA1396AA_AS	30	?	hypothetical protein	299
KL301_ESC_XA1396AA_AS	31	?	hypothetical protein	434
KL301_ESC_XA1396AA_AS	32	?	hypothetical protein	356
KL301_ESC_XA1396AA_AS	33	?	hypothetical protein	355
KL301_ESC_XA1396AA_AS	34	?	hypothetical protein	196
KL301_ESC_XA1396AA_AS	35	?	hypothetical protein	245
KL301_ESC_XA1396AA_AS	36	?	hypothetical protein	258
KL301_ESC_XA1396AA_AS	37	?	hypothetical protein	202
KL301_ESC_XA1396AA_AS	38	?	hypothetical protein	371
KL301_ESC_XA1396AA_AS	39	wcuE	D-inositol 3-phosphate glycosyltransferase	385
KL301_ESC_XA1396AA_AS	40	?	hypothetical protein	1213
KL301_ESC_XA1396AA_AS	41	?	hypothetical protein	425
KL301_ESC_XA1396AA_AS	42	?	hypothetical protein	404
KL301_ESC_XA1396AA_AS	43	?	hypothetical protein	264
KL301_ESC_XA1396AA_AS	44	manB	phosphomannomutase	458
KL301_ESC_XA1396AA_AS	45	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	297
KL301_ESC_XA1396AA_AS	46	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	155
KL301_ESC_XA1396AA_AS	47	?	hypothetical protein	325
KL301_ESC_XA1396AA_AS	48	ugd	UDP-glucose 6-dehydrogenase	388
KL301_ESC_XA1396AA_AS	49	gnd	gluconate-6-phosphate dehydrogenase	468
KL301_ESC_XA1396AA_AS	50	?	hypothetical protein	122
KL302_ESC_WB6700AA_AS	0	galF	UDP-glucose pyrophosphorylase	305
KL302_ESC_WB6700AA_AS	1	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL302_ESC_WB6700AA_AS	2	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL302_ESC_WB6700AA_AS	3	wcuA	colanic acid biosynthesis protein	426
KL302_ESC_WB6700AA_AS	4	wzx	flippase	492
KL302_ESC_WB6700AA_AS	5	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL302_ESC_WB6700AA_AS	6	manB	phosphomannomutase	456
KL302_ESC_WB6700AA_AS	7	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL302_ESC_WB6700AA_AS	8	wcaI	glycosyl transferase	407
KL302_ESC_WB6700AA_AS	9	gmm	GDP-mannose mannosyl hydrolase	160
KL302_ESC_WB6700AA_AS	10	wcaG	GDP-fucose synthetase	321
KL302_ESC_WB6700AA_AS	11	gmd	GDP-D-mannose dehydratase	373
KL302_ESC_WB6700AA_AS	12	wcqU	Putative acetyltransferase	182
KL302_ESC_WB6700AA_AS	13	?	hypothetical protein	248
KL302_ESC_WB6700AA_AS	14	?	hypothetical protein	405
KL302_ESC_WB6700AA_AS	15	?	hypothetical protein	405
KL302_ESC_WB6700AA_AS	16	wcqN	Serine acetyltransferase	162
KL302_ESC_WB6700AA_AS	17	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL302_ESC_WB6700AA_AS	18	wzc	tyrosine-protein kinase	720
KL302_ESC_WB6700AA_AS	19	wzb	protein tyrosine phosphatase	147
KL302_ESC_WB6700AA_AS	20	wza	putative capsule polysaccharide export protein	379
KL302_ESC_WB6700AA_AS	21	?	hypothetical protein	527
KL302_ESC_WB6700AA_AS	22	?	hypothetical protein	617
KL302_ESC_WB6700AA_AS	23	?	hypothetical protein	193
KL302_ESC_WB6700AA_AS	24	?	hypothetical protein	213
KL302_ESC_WB6700AA_AS	25	?	hypothetical protein	616
KL302_ESC_WB6700AA_AS	26	?	hypothetical protein	93
KL302_ESC_WB6700AA_AS	27	?	hypothetical protein	114
KL302_ESC_WB6700AA_AS	28	?	hypothetical protein	63
KL302_ESC_WB6700AA_AS	29	?	hypothetical protein	298
KL302_ESC_WB6700AA_AS	30	?	hypothetical protein	474
KL302_ESC_WB6700AA_AS	31	?	hypothetical protein	75
KL302_ESC_WB6700AA_AS	32	?	hypothetical protein	334
KL302_ESC_WB6700AA_AS	33	?	hypothetical protein	452
KL302_ESC_WB6700AA_AS	34	?	hypothetical protein	316
KL302_ESC_WB6700AA_AS	35	?	hypothetical protein	274
KL302_ESC_WB6700AA_AS	36	?	hypothetical protein	84
KL302_ESC_WB6700AA_AS	37	?	hypothetical protein	83
KL302_ESC_WB6700AA_AS	38	?	hypothetical protein	299
KL302_ESC_WB6700AA_AS	39	?	hypothetical protein	434
KL302_ESC_WB6700AA_AS	40	?	hypothetical protein	356
KL302_ESC_WB6700AA_AS	41	?	hypothetical protein	355
KL302_ESC_WB6700AA_AS	42	?	hypothetical protein	196
KL302_ESC_WB6700AA_AS	43	?	hypothetical protein	245
KL302_ESC_WB6700AA_AS	44	?	hypothetical protein	258
KL302_ESC_WB6700AA_AS	45	?	hypothetical protein	203
KL302_ESC_WB6700AA_AS	46	?	hypothetical protein	87
KL302_ESC_WB6700AA_AS	47	?	hypothetical protein	236
KL302_ESC_WB6700AA_AS	48	ugd	UDP-glucose 6-dehydrogenase	388
