cluster	representative	kx_types	n_members	members
1	KX31__ESC_GC2276AA_AS	KX01/KX17/KX31/KX34/KX36/KX67/unknown	46	KX31__ESC_GC2276AA_AS;KX17__ESC_MB1881AA_AS;KX34__ESC_CC1364AA_AS;KX17__ESC_HC1211AA_AS;KX36__ESC_GB6453AA_AS;KX36__ESC_EC0870AA_AS;unknown__ESC_AA9992AA_AS;KX34__ESC_CC7961AA_AS;KX34__ESC_CC8061AA_AS;KX34__ESC_CC8065AA_AS;KX34__ESC_CC8115AA_AS;KX34__ESC_DC2683AA_AS;KX01__ESC_HA0332AA_AS;KX36__ESC_HC3965AA_AS;KX34__ESC_PA1101AA_AS;KX36__ESC_PA1117AA_AS;KX34__ESC_PB2579AA_AS;KX34__ESC_QB3653AA_AS;KX34__ESC_RB8271AA_AS;KX34__ESC_RB8300AA_AS;KX17__ESC_WA5784AA_AS;KX36__ESC_WA6999AA_AS;KX17__ESC_YA3444AA_AS;KX34__ESC_ZA2209AA_AS;KX36__ESC_BA4417AA_AS;KX34__ESC_CC8600AA_AS;KX36__ESC_EC0856AA_AS;KX34__ESC_GC3716AA_AS;KX34__ESC_LB2397AA_AS;KX36__ESC_CA0541AA_AS;KX36__ESC_EC0810AA_AS;KX36__ESC_EC0857AA_AS;KX17__ESC_BA5698AA_AS;KX17__ESC_BA7474AA_AS;KX36__ESC_HA4982AA_AS;KX67__ESC_WA6952AA_AS;KX67__ESC_CA1563AA_AS;KX01__ESC_HA4993AA_AS;KX34__ESC_JB8339AA_AS;KX17__ESC_MB1864AA_AS;KX36__ESC_EC0695AA_AS;KX17__ESC_FC9372AA_AS;KX34__ESC_HC1471AA_AS;KX17__ESC_CC1388AA_AS;KX17__ESC_BA9902AA_AS;KX17__ESC_GB6596AA_AS
2	KX36__ESC_XA1396AA_AS	KX01/KX17/KX34/KX36	10	KX36__ESC_XA1396AA_AS;KX36__ESC_TA7127AA_AS;KX34__ESC_WB6674AA_AS;KX36__ESC_HA7998AA_AS;KX36__ESC_BC6454AA_AS;KX36__ESC_EC0828AA_AS;KX17__ESC_CC9339AA_AS;KX17__ESC_FC8590AA_AS;KX01__ESC_GB8672AA_AS;KX36__ESC_CA3724AA_AS
3	KX01__ESC_WB6700AA_AS	KX01/KX17/KX34/KX36/KX54/KX67	17	KX01__ESC_WB6700AA_AS;KX36__ESC_GB6443AA_AS;KX36__ESC_AA8074AA_AS;KX34__ESC_TA7205AA_AS;KX17__ESC_EC0706AA_AS;KX17__ESC_EC0658AA_AS;KX34__ESC_NB8714AA_AS;KX67__ESC_CA5464AA_AS;KX17__ESC_BA9146AA_AS;KX36__ESC_IB6785AA_AS;KX36__ESC_GB3583AA_AS;KX54__ESC_GB6932AA_AS;KX01__ESC_CC1376AA_AS;KX17__ESC_BA1438AA_AS;KX17__ESC_LB8836AA_AS;KX17__ESC_FC8484AA_AS;KX36__ESC_IB6790AA_AS
4	KX17__ESC_JB0772AA_AS	KX17/KX36	3	KX17__ESC_JB0772AA_AS;KX36__ESC_UB1439AA_AS;KX17__ESC_FA9933AA_AS
5	KX34__ESC_CC4280AA_AS	KX34/KX36	4	KX34__ESC_CC4280AA_AS;KX36__ESC_BC9659AA_AS;KX36__ESC_CA5416AA_AS;KX36__ESC_EC0700AA_AS
6	KX01__ESC_BA8240AA_AS	KX01/KX34/KX36	4	KX01__ESC_BA8240AA_AS;KX34__ESC_TA7291AA_AS;KX36__ESC_HA8180AA_AS;KX36__ESC_HA5045AA_AS
7	KX01__ESC_GB3606AA_AS	K24/KX01/KX17/KX31/KX34/KX36/KX67	28	KX01__ESC_GB3606AA_AS;K24__ESC_GB3756AA_AS;KX36__ESC_EC0702AA_AS;KX36__ESC_BA3239AA_AS;KX36__ESC_CA0417AA_AS;KX36__ESC_FA6830AA_AS;KX36__ESC_WB3903AA_AS;KX36__ESC_XA1198AA_AS;KX36__ESC_BA7595AA_AS;KX36__ESC_HC4018AA_AS;KX36__ESC_BA3530AA_AS;KX36__ESC_LB5975AA_AS;KX36__ESC_LB6063AA_AS;KX36__ESC_XA1073AA_AS;KX31__ESC_GB3733AA_AS;KX17__ESC_BA1873AA_AS;KX31__ESC_CA0892AA_AS;KX01__ESC_GB3644AA_AS;KX17__ESC_HA5168AA_AS;KX36__ESC_BA2139AA_AS;KX36__ESC_CA1660AA_AS;KX36__ESC_CA4634AA_AS;KX34__ESC_YA3443AA_AS;KX36__ESC_CA4338AA_AS;KX36__ESC_HA5078AA_AS;KX36__ESC_XA6452AA_AS;KX67__ESC_HA5041AA_AS;KX36__ESC_HC1283AA_AS
8	KX34__ESC_NB5901AA_AS	KX17/KX34/KX36	7	KX34__ESC_NB5901AA_AS;KX17__ESC_ZB9568AA_AS;KX34__ESC_GB4182AA_AS;KX36__ESC_CA2465AA_AS;KX34__ESC_BA8306AA_AS;KX36__ESC_HA5079AA_AS;KX17__ESC_EC0794AA_AS
9	KX36__ESC_GB2058AA_AS	KX36	1	KX36__ESC_GB2058AA_AS
10	KX36__ESC_IC0567AA_AS	KX01/KX31/KX34/KX36/KX63/KX72	34	KX36__ESC_IC0567AA_AS;KX31__ESC_EC0797AA_AS;KX01__ESC_WA6921AA_AS;KX36__ESC_XA1368AA_AS;KX01__ESC_YA7662AA_AS;KX36__ESC_HC3990AA_AS;KX36__ESC_ZB6424AA_AS;KX01__ESC_GB6922AA_AS;KX36__ESC_HC3923AA_AS;KX36__ESC_LB4110AA_AS;KX36__ESC_CA0222AA_AS;KX36__ESC_CA4078AA_AS;KX36__ESC_GB3681AA_AS;KX36__ESC_HA4983AA_AS;KX34__ESC_ZB9542AA_AS;KX36__ESC_HC1280AA_AS;KX34__ESC_XA1378AA_AS;KX36__ESC_HC4021AA_AS;KX34__ESC_DC5690AA_AS;KX34__ESC_IC3121AA_AS;KX36__ESC_LB6064AA_AS;KX63__ESC_CA2271AA_AS;KX63__ESC_HC4037AA_AS;KX01__ESC_EC0831AA_AS;KX36__ESC_HC4141AA_AS;KX36__ESC_XA1087AA_AS;KX36__ESC_LB6065AA_AS;KX36__ESC_HC4117AA_AS;KX01__ESC_CA4868AA_AS;KX72__ESC_LB6061AA_AS;KX72__ESC_CA2296AA_AS;KX72__ESC_HA0396AA_AS;KX72__ESC_EC0728AA_AS;KX36__ESC_HA8269AA_AS
