,KL544_SAMN176094,KL616_SAMN201639,KL546_SAMN194904
KL544_SAMN176094,0.0,0.0016670992421717878,0.013905720326972126
KL616_SAMN201639,0.0016670992421717878,0.0,0.0
KL546_SAMN194904,0.013905720326972126,0.0,0.0
